Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
15,0.09813307691098626,0.9642,0.9606,0.9686,0.9646,0.9642,0.15303022955247964,0.9393,0.8275,0.8622,0.8445,0.9099
16,0.09116117212251576,0.9663,0.963,0.9697,0.9663,0.9663,0.19466289020651442,0.9231,0.7477,0.9022,0.8177,0.9151
17,0.08702194437592752,0.968,0.9651,0.9708,0.9679,0.968,0.16017891695214945,0.9377,0.8192,0.865,0.8415,0.9099
18,0.08216767323758442,0.9698,0.9663,0.9737,0.97,0.9698,0.1451361382258421,0.9457,0.8773,0.8324,0.8543,0.9024
19,0.08355149958031866,0.9686,0.9648,0.9723,0.9685,0.9687,0.14529405578320043,0.9475,0.8837,0.8352,0.8588,0.9046
20,0.07428299884690788,0.9723,0.9692,0.9758,0.9725,0.9723,0.16251804093851455,0.9372,0.8017,0.892,0.8444,0.9199
21,0.07350284632903799,0.9718,0.9687,0.9749,0.9718,0.9718,0.13299670593617272,0.9548,0.9116,0.8454,0.8773,0.913
22,0.06644719759273185,0.9752,0.9731,0.9784,0.9757,0.9751,0.14907321864633227,0.9439,0.8517,0.8557,0.8537,0.9102
23,0.06834982203507801,0.9747,0.9719,0.9778,0.9748,0.9747,0.14132783676375932,0.9512,0.8914,0.8482,0.8693,0.9119
24,0.061823058409421545,0.9754,0.9724,0.9793,0.9758,0.9754,0.14920524864282925,0.9484,0.8828,0.8417,0.8618,0.9077
25,0.0615820665673665,0.9776,0.9739,0.9814,0.9777,0.9776,0.14658953824122858,0.9511,0.914,0.8212,0.8651,0.9015
26,0.06290527593436515,0.9775,0.9741,0.9807,0.9774,0.9775,0.15175031406132886,0.9525,0.9216,0.8212,0.8685,0.9024
27,0.05725782587330383,0.9786,0.9756,0.9816,0.9786,0.9786,0.15749207940958018,0.9484,0.8836,0.8408,0.8616,0.9073
28,0.05605036272456533,0.9792,0.9775,0.9807,0.9791,0.9792,0.14678574450822038,0.9514,0.8977,0.8417,0.8688,0.9095
29,0.05439022895886715,0.9809,0.9789,0.9833,0.9811,0.9808,0.14557372814107855,0.9532,0.9075,0.8408,0.8729,0.9103
30,0.051720832820106456,0.9807,0.9783,0.9833,0.9808,0.9807,0.17228511026901702,0.95,0.9152,0.8138,0.8615,0.898
31,0.04884102899030139,0.9819,0.9792,0.9847,0.9819,0.9819,0.17963710936402838,0.9494,0.9284,0.797,0.8577,0.8912
32,0.04852269586448539,0.9818,0.9818,0.9818,0.9818,0.9818,0.1753917458018722,0.9471,0.8881,0.8277,0.8569,0.9015
33,0.04550235396878858,0.983,0.9803,0.9856,0.983,0.983,0.17601180664364205,0.9527,0.9325,0.811,0.8675,0.8986
34,0.04188408276828721,0.9839,0.982,0.9853,0.9837,0.9839,0.16995451017018323,0.9525,0.9243,0.8184,0.8681,0.9013
35,0.04324415941902151,0.9837,0.9813,0.9861,0.9837,0.9837,0.16053813501904104,0.9539,0.9223,0.8287,0.873,0.9061
36,0.04052624364572319,0.9855,0.9851,0.9862,0.9857,0.9855,0.19078262728329387,0.9473,0.9322,0.7812,0.8501,0.8839
37,0.04048186262866368,0.9847,0.9841,0.9857,0.9849,0.9847,0.188128757218444,0.9471,0.8985,0.8156,0.8551,0.8969
38,0.039757427010941385,0.986,0.983,0.9891,0.986,0.986,0.17661865406262223,0.9527,0.9217,0.8222,0.8691,0.9028
39,0.03902004113533256,0.9862,0.9841,0.9881,0.9861,0.9862,0.16424979616964597,0.9525,0.9007,0.8445,0.8717,0.9112
40,0.040441449069288586,0.9843,0.9829,0.9854,0.9842,0.9843,0.16613368346588686,0.9539,0.9321,0.8184,0.8716,0.9022
41,0.03448975667187992,0.9883,0.986,0.9906,0.9883,0.9883,0.18163439961062977,0.9512,0.9219,0.8138,0.8645,0.8987
